cfg_idx,n_seeds,test_mean_score_mean,test_mean_score_std,mean_n_completed_tasks_mean,mean_n_completed_tasks_std,mean_time_mean,mean_time_std,trade_off_mean,trade_off_std,training.num_epochs,optimizer.lr,dataloader.batch_size,policy.Conditional_ConsistencyFM.num_segments,policy.Conditional_ConsistencyFM.eps,policy.Conditional_ConsistencyFM.delta,n_action_steps,n_obs_steps,policy.diffusion_step_embed_dim,_state_mlp_hidden,_unet_base_width
3,3,0.3416666666666666,0.08816020770292131,1.3666666666666665,0.35264083081168524,0.006898811626783658,6.006257782076843e-05,nan,nan,,,,,,,,,,,
1,3,0.0033333333333333335,0.0023570226039551583,0.013333333333333334,0.009428090415820633,0.006666018656321934,9.052415015744417e-05,nan,nan,500,1e-05,512,1,1.0,0.01,4,4,512,128,128
2,3,0.0033333333333333335,0.0023570226039551583,0.013333333333333334,0.009428090415820633,0.007024387904575893,5.79953064648627e-05,nan,nan,,,,,,,,,,,
5,3,0.0016666666666666668,0.0023570226039551583,0.006666666666666667,0.009428090415820633,0.0069407759321496836,4.2037067202157566e-05,nan,nan,,,,,,,,,,,
0,3,0.0,0.0,0.0,0.0,0.0065249870391119085,4.222359522091565e-05,nan,nan,1000,0.001,256,1,1.0,1.0,8,16,256,128,1024
7,2,0.0,0.0,0.0,0.0,0.0068624226706368585,1.964030947004076e-05,nan,nan,,,,,,,,,,,
4,3,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,
6,3,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,
